second,bucket,sessions
1970/01/01 06:43:53,tcp-syn,1
1970/01/01 06:43:54,tcp-syn,1
1970/01/01 06:43:55,tcp-syn,1
1970/01/01 06:44:04,tcp-syn,1
1970/01/01 06:44:06,tcp-syn,2
1970/01/01 06:44:14,tcp-syn,1
1970/01/01 06:44:16,tcp-syn,1
1970/01/01 06:44:22,udp,1
1970/01/01 06:44:23,tcp-syn,2
1970/01/01 06:44:27,tcp-syn,1
1970/01/01 06:44:29,tcp-syn,1
1970/01/01 06:44:31,tcp-syn,1
1970/01/01 06:44:36,tcp-syn,1
1970/01/01 06:44:39,tcp-syn,4
1970/01/01 06:44:44,tcp-syn,2
1970/01/01 06:44:50,tcp-syn,1
1970/01/01 06:44:56,tcp-syn,1
1970/01/01 06:44:58,tcp-syn,1
1970/01/01 06:45:05,tcp-syn,1
1970/01/01 06:45:13,tcp-syn,2
1970/01/01 06:45:18,tcp-syn,1
1970/01/01 06:45:29,tcp-syn,1
1970/01/01 06:45:30,tcp-syn,1
1970/01/01 06:45:43,tcp-syn,2
1970/01/01 06:45:47,tcp-syn,2
1970/01/01 06:45:55,tcp-syn,1
1970/01/01 06:45:58,tcp-syn,1
1970/01/01 06:46:01,tcp-syn,1
1970/01/01 06:46:08,tcp-syn,1
1970/01/01 06:46:12,tcp-syn,1
1970/01/01 06:46:19,tcp-syn,1
1970/01/01 06:46:19,other-ip,1
1970/01/01 06:46:32,tcp-syn,2
1970/01/01 06:46:41,tcp-syn,1
1970/01/01 06:46:53,tcp-syn,1
1970/01/01 06:46:55,tcp-syn,1
1970/01/01 06:46:57,tcp-syn,1
1970/01/01 06:47:04,tcp-syn,2
1970/01/01 06:47:05,tcp-syn,1
1970/01/01 06:47:15,udp,3
1970/01/01 06:47:25,other-ip,1
1970/01/01 06:47:26,tcp-syn,1
1970/01/01 06:47:30,tcp-syn,1
1970/01/01 06:47:40,tcp-syn,2
1970/01/01 06:47:44,tcp-syn,1
1970/01/01 06:47:45,tcp-syn,1
1970/01/01 06:47:50,udp,2
1970/01/01 06:47:57,tcp-syn,1
1970/01/01 06:48:07,tcp-syn,1
1970/01/01 06:48:14,tcp-syn,1
1970/01/01 06:48:15,tcp-syn,2
1970/01/01 06:48:21,udp,1
1970/01/01 06:48:24,tcp-syn,2
1970/01/01 06:48:25,tcp-syn,1
1970/01/01 06:48:27,tcp-syn,1
1970/01/01 06:48:28,tcp-syn,2
1970/01/01 06:48:32,tcp-syn,2
1970/01/01 06:48:42,tcp-syn,1
1970/01/01 06:48:43,tcp-syn,1
